F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,Class,
0.1228,0.32061,0.33535,0.22346,0,0.20038,0.5,0.54545,0.5,0.41176,0.4,0.3913,0.38462,Y,
0.47452,0.09292,0.10467,0.38858,0.04956,0.07743,0.625,0.63636,.50788,0.58824,0.55,0.56522,.43945,Y,
0.27003,0.30216,0.27958,0.18051,0,0.69245,0.75,0.72727,0.57143,0.47059,0.5,0.52174,.43945,Y,
0.30209,0.37793,.2043,0.24541,0.15775,0.4108,0.625,0.54545,0.5,0.52941,0.5,0.47826,0.5,Y,
0.2336,0.13861,0.19406,0.19046,0.04436,0.03465,0.75,0.72727,0.71429,0.64706,0.65,0.56522,0.53846,Y,
0.10117,0.26415,0.3188,0.47341,0.21132,0.16509,0.5,0.45455,0.42857,0.41176,0.4,0.3913,.43945,Y,
0.39166,0.36522,0.38201,0.14545,.14264,0.57826,0.625,0.54545,.50788,0.47059,.46704,.45177,0.42308,Y,
0.33608,0.43875,0.3466,0.15488,0.15954,0.349,0.625,0.54545,0.57143,0.52941,0.5,0.47826,0.46154,Y,
0.45686,0.3139,0.27277,0.20628,0.10045,.28136,0.625,0.63636,0.57143,0.52941,0.45,0.43478,0.46154,Y,
0.29289,0.29412,0.32657,0.21085,0.09412,0.25735,.58596,0.54545,0.5,0.47059,0.45,0.43478,0.42308,Y,
0.16756,0.21875,0.36961,0.13068,0.175,0.27344,0.625,0.45455,0.42857,.48523,0.4,0.43478,.43945,Y,
0,0,0.52567,0.18586,0,0.19444,0.625,0.45455,0.42857,0.41176,0.4,0.43478,0.42308,Y,
0.31689,0.18507,0.19971,0.1756,0.01742,0.21773,0.625,0.63636,0.57143,0.52941,0.5,.45177,0.5,Y,
.30008,0.22201,0.22697,0.14043,0.06269,0.16325,0.625,0.54545,0.5,.48523,.46704,0.52174,0.53846,Y,
0.27292,0.20958,0.07082,.21702,0.23473,0.13099,0.375,0.36364,0.42857,0.35294,0.35,0.3913,0.34615,Y,
0.29881,0.17337,0.19878,0.32367,0.03467,0.13545,0.5,.54098,0.42857,.48523,0.45,0.43478,0.42308,Y,
0.19543,0.14351,.2043,0.1667,0.05103,0.20928,0.75,0.81818,0.78571,.48523,0.6,0.56522,0.57692,Y,
0.15771,0.56618,0.29817,0.30749,0.16471,0.25735,0.5,0.54545,0.42857,0.41176,0.45,0.43478,0.42308,Y,
0.16414,0.14286,0.34483,0.08534,0.11429,0.17857,0.625,0.63636,0.5,0.47059,0.5,.45177,0.46154,Y,
0.21783,.27103,0.25345,0.3267,0.14,0.4375,0.75,0.63636,0.57143,0.52941,0.5,0.47826,0.46154,Y,
0.2347,0.24747,0.15929,0.16896,.14264,0.27988,0.75,.54098,0.71429,0.70588,0.7,0.65217,0.57692,Y,
0.38726,0.19444,0.4318,0.13939,.14264,0.24306,.58596,0.45455,0.5,.48523,0.5,0.47826,0.46154,Y,
0.20737,0.19337,0.26138,0.23104,.14264,0.29006,0.625,0.54545,0.5,0.47059,0.5,0.47826,0.46154,Y,
0.18272,0.17431,0.19488,0.25211,0.14679,0.10321,0.75,0.81818,0.71429,0.64706,0.6,0.56522,0.5,Y,
0.38695,0.21649,0.13935,0.30178,0.1732,0.36082,0.375,0.36364,0.35714,.48523,0.35,0.34783,.43945,Y,
0.28408,0.09272,0.33569,0.36002,0.29669,0.17384,0.625,0.63636,0.64286,0.58824,0.55,0.56522,0.53846,Y,
.30008,0.27237,0.19724,0.30916,0.04358,0.44261,0.875,0.72727,0.64286,0.58824,0.55,0.52174,0.53846,Y,
0.33793,0.19666,0.18218,0.33658,0.08504,0.22589,0.75,0.72727,0.64286,0.64706,.46704,.45177,0.65385,Y,
0.12256,0.2,0.14483,0.13143,0.128,0.5,0.625,0.63636,0.57143,0.47059,0.5,0.43478,0.42308,Y,
0.30561,0.18135,0.22762,0.45502,0.11606,.28136,0.625,0.54545,0.57143,.48523,0.45,0.43478,0.42308,Y,
.30008,0.16,0.14483,0.21506,.14264,0.225,0.5,0.45455,.50788,0.41176,0.4,0.3913,0.38462,Y,
0.36688,0.25789,0.40907,0.2201,.14264,0.18421,0.625,0.54545,0.5,0.52941,.46704,0.47826,0.46154,Y,
0.27323,0.26752,0.40896,0.15981,0.07134,0.33439,0.625,0.54545,0.57143,0.58824,0.55,0.52174,0.5,Y,
0.25218,0.31188,0.15893,0.24842,0.13861,0.28156,0.5,0.54545,0.5,0.47059,.46704,0.47826,0.42308,Y,
0.26662,.27103,0.27072,0.13862,0.03094,0.29006,0.625,0.63636,.50788,0.52941,0.55,0.47826,0.46154,Y,
.30008,.27103,0.1438,.21702,.14264,0.27926,0.625,0.54545,0.5,0.52941,0.5,0.52174,0.5,Y,
0.34853,0.525,0.40552,0.25091,0.112,0.35,0.625,0.54545,0.57143,0.58824,.46704,0.52174,0.53846,Y,
